iter	MultiClass
0	2.243671224
1	2.15482098
2	2.096639382
3	2.043099204
4	1.994826109
5	1.966915667
6	1.937276678
7	1.913784202
8	1.889376636
9	1.863535535
10	1.849424064
11	1.834071572
12	1.81583185
13	1.77419322
14	1.745484561
15	1.730709997
16	1.722382517
17	1.704505436
18	1.668426457
19	1.630348379
20	1.594512665
21	1.565845368
22	1.539201163
23	1.517994809
24	1.491061191
25	1.471765614
26	1.450885809
27	1.441445364
28	1.423371029
29	1.41680894
30	1.398254854
31	1.375977274
32	1.357141882
33	1.337878171
34	1.325803655
35	1.315501142
36	1.30641267
37	1.287590092
38	1.27553379
39	1.263310536
40	1.242894575
41	1.236311539
42	1.22244241
43	1.210002234
44	1.198174108
45	1.188296741
46	1.177217268
47	1.163127111
48	1.151020927
49	1.139571387
50	1.130332529
51	1.114236808
52	1.109838043
53	1.096516104
54	1.089525905
55	1.079920212
56	1.074446977
57	1.067842097
58	1.061820839
59	1.05016808
60	1.032497483
61	1.01839158
62	1.006344913
63	0.9983677548
64	0.9917224742
65	0.9859897334
66	0.9763064458
67	0.9696931347
68	0.9635949997
69	0.949333166
70	0.9374665253
71	0.9334031189
72	0.9184326662
73	0.9125145925
74	0.9054165544
75	0.9023271267
76	0.8962568717
77	0.8876187791
78	0.8828085515
79	0.8740478446
80	0.8625918052
81	0.8534843826
82	0.8459154604
83	0.8417246357
84	0.8370772081
85	0.831735496
86	0.8246332916
87	0.8190780624
88	0.8142490604
89	0.8087979099
90	0.798851998
91	0.7868591367
92	0.779197111
93	0.7730150882
94	0.7668270138
95	0.7590828694
96	0.7534594082
97	0.7462146798
98	0.7449438305
99	0.740427112
100	0.735512988
101	0.7316009543
102	0.7272944082
103	0.722888758
104	0.7172534927
105	0.7147441954
106	0.7124598741
107	0.7061051817
108	0.7009487951
109	0.6986527969
110	0.6930746876
111	0.6860725671
112	0.680649625
113	0.6754852172
114	0.6695587505
115	0.6663574343
116	0.6629209254
117	0.6594553329
118	0.6563916358
119	0.6523774796
120	0.6492304724
121	0.6465668605
122	0.6435134897
123	0.6392384291
124	0.6334786952
125	0.6315563948
126	0.6258414275
127	0.6228250416
128	0.6199972426
129	0.6177856283
130	0.6121597889
131	0.608230139
132	0.603789353
133	0.5974641576
134	0.5934656081
135	0.5876898869
136	0.583747001
137	0.5796059961
138	0.5757319652
139	0.5727177024
140	0.5708348219
141	0.5679620735
142	0.5667189903
143	0.5624870115
144	0.5607075647
145	0.5554413087
146	0.5524364776
147	0.5516721654
148	0.5470839886
149	0.544652332
150	0.5434327328
151	0.5374508278
152	0.5317900281
153	0.527070791
154	0.5238842605
155	0.5190949327
156	0.5159247528
157	0.5144431946
158	0.5109308956
159	0.5080278009
160	0.5027750412
161	0.497566891
162	0.4947838159
163	0.4925824132
164	0.4897156447
165	0.4846455733
166	0.4816078849
167	0.4797077678
168	0.476996912
169	0.473873921
170	0.4706459288
171	0.468488025
172	0.4647793216
173	0.4617462052
174	0.4571269117
175	0.4542427494
176	0.4531596514
177	0.4501959999
178	0.4455627481
179	0.4448351668
180	0.4421860705
181	0.4402540908
182	0.4387084053
183	0.436690104
184	0.434719917
185	0.4334185401
186	0.4283708886
187	0.4259057618
188	0.4247004187
189	0.4207291732
190	0.4184341822
191	0.415622586
192	0.4126088774
193	0.4115311142
194	0.4093462989
195	0.4075267374
196	0.4061608413
197	0.4014533025
198	0.3989104142
199	0.3971593829
200	0.3930985097
201	0.3902919647
202	0.387107586
203	0.3856990452
204	0.3847623656
205	0.382025491
206	0.3806714852
207	0.3777405366
208	0.3758463638
209	0.3738251917
210	0.3715872467
211	0.3697688419
212	0.3664666172
213	0.3651936151
214	0.3632833226
215	0.3614656709
216	0.3588027787
217	0.3573808437
218	0.3541243652
219	0.3515035968
220	0.3494238359
221	0.3480675042
222	0.3473369448
223	0.3464831204
224	0.3446200334
225	0.3425972717
226	0.3402413158
227	0.3386461915
228	0.3371714399
229	0.3362983354
230	0.3352515872
231	0.3329336327
232	0.3310843012
233	0.3289780709
234	0.3280599129
235	0.326437365
236	0.3246968667
237	0.3228902808
238	0.3202537012
239	0.3194644349
240	0.317905424
241	0.3161407005
242	0.3142767411
243	0.3126241851
244	0.311389001
245	0.31059227
246	0.3078837809
247	0.3069106789
248	0.3055350672
249	0.3047452723
250	0.3031481514
251	0.3013778327
252	0.3006259083
253	0.2996033628
254	0.2991114072
255	0.2977028365
256	0.2958828135
257	0.2938890057
258	0.2925925115
259	0.2901183651
260	0.2886802437
261	0.286902215
262	0.2861299674
263	0.2844262695
264	0.2822053755
265	0.2815808276
266	0.2802319623
267	0.2796658665
268	0.2779088969
269	0.2760555091
270	0.2751728222
271	0.2743132345
272	0.2729758389
273	0.2715843284
274	0.270645963
275	0.2689360949
276	0.2673502433
277	0.2664548182
278	0.2648081069
279	0.2631431755
280	0.2616027849
281	0.260409452
282	0.2597548876
283	0.2585681156
284	0.2577360041
285	0.2570520717
286	0.2558390532
287	0.2551352788
288	0.2535494916
289	0.2529759924
290	0.2515010105
291	0.2504367715
292	0.2500286429
293	0.2489152923
294	0.2478328
295	0.246326904
296	0.2453047048
297	0.2437275232
298	0.2427526141
299	0.2420954928
300	0.2415572702
301	0.2409285919
302	0.2393250476
303	0.2383565174
304	0.2369648087
305	0.2355574026
306	0.235192394
307	0.2347514286
308	0.2342948561
309	0.2332621602
310	0.2326740011
311	0.2311614261
312	0.2299086373
313	0.2289139868
314	0.2280477205
315	0.2265699919
316	0.2256801625
317	0.2245288908
318	0.2235687396
319	0.2229122167
320	0.2221104582
321	0.2216068122
322	0.2207684511
323	0.2198198499
324	0.2189252848
325	0.2179123872
326	0.2167564836
