iter	Passed	Remaining
0	1	1388
1	6	3021
2	7	2444
3	8	2165
4	9	1977
5	11	1872
6	12	1799
7	14	1757
8	15	1709
9	16	1670
10	18	1642
11	19	1613
12	21	1599
13	22	1581
14	23	1571
15	25	1569
16	27	1562
17	28	1558
18	29	1546
19	31	1548
20	32	1535
21	34	1526
22	35	1517
23	37	1512
24	38	1504
25	39	1498
26	41	1487
27	42	1481
28	44	1473
29	45	1481
30	47	1474
31	48	1467
32	49	1464
33	51	1463
34	52	1457
35	54	1451
36	55	1446
37	56	1441
38	58	1434
39	59	1429
40	60	1422
41	62	1415
42	63	1411
43	64	1404
44	65	1398
45	67	1396
46	68	1393
47	70	1389
48	71	1394
49	73	1391
50	74	1385
51	75	1380
52	77	1378
53	78	1374
54	79	1372
55	81	1374
56	83	1376
57	84	1374
58	85	1369
59	87	1368
60	88	1367
61	90	1363
62	91	1360
63	93	1362
64	94	1365
65	96	1361
66	97	1361
67	99	1357
68	100	1356
69	101	1353
70	103	1349
71	104	1345
72	105	1344
73	107	1340
74	108	1337
75	109	1336
76	111	1334
77	112	1333
78	114	1330
79	115	1327
80	116	1324
81	118	1322
82	119	1320
83	120	1317
84	122	1315
85	123	1313
86	124	1311
87	126	1308
88	127	1307
89	129	1305
90	130	1302
91	131	1300
92	133	1298
93	134	1295
94	135	1294
95	137	1292
96	138	1290
97	139	1287
98	141	1285
99	143	1292
100	145	1290
101	146	1288
102	147	1285
103	149	1284
104	150	1281
105	151	1280
106	153	1278
107	154	1277
108	155	1273
109	157	1271
110	158	1268
111	159	1267
112	161	1265
113	162	1264
114	163	1261
115	165	1261
116	166	1258
117	168	1257
118	169	1255
119	171	1256
120	172	1254
121	174	1252
122	175	1250
123	176	1248
124	178	1248
125	179	1246
126	180	1243
127	182	1241
128	183	1239
129	184	1236
130	186	1235
131	187	1235
132	189	1232
133	190	1231
134	191	1229
135	193	1227
136	194	1225
137	195	1223
138	197	1220
139	198	1218
140	199	1215
141	201	1214
142	202	1212
143	203	1211
144	205	1208
145	206	1208
146	208	1207
147	209	1205
148	210	1203
149	211	1201
150	213	1199
151	214	1198
152	216	1196
153	217	1195
154	218	1193
155	220	1191
156	221	1189
157	223	1188
158	224	1187
159	226	1186
160	227	1185
161	228	1183
162	230	1181
163	231	1179
164	232	1178
165	234	1175
166	235	1173
167	236	1173
168	238	1171
169	239	1170
170	240	1168
171	242	1166
172	243	1165
173	245	1163
174	246	1161
175	248	1165
176	250	1163
177	251	1161
178	252	1159
179	254	1157
180	255	1155
181	256	1153
182	258	1152
183	259	1150
184	260	1148
185	262	1146
186	263	1145
187	264	1143
188	265	1140
189	267	1140
190	270	1144
191	271	1142
192	272	1141
193	274	1140
194	275	1138
195	276	1136
196	278	1135
197	280	1134
198	281	1133
199	282	1131
200	284	1129
201	285	1128
202	286	1126
203	288	1124
204	290	1124
205	291	1123
206	292	1121
207	294	1120
208	295	1118
209	296	1117
210	298	1116
211	299	1114
212	301	1113
213	302	1111
214	304	1110
215	305	1109
216	307	1107
217	308	1106
218	309	1104
219	311	1103
220	312	1101
221	313	1100
222	315	1098
223	316	1096
224	318	1095
225	319	1094
226	321	1093
227	322	1091
228	323	1089
229	324	1087
230	326	1086
231	327	1085
232	329	1083
233	330	1082
234	331	1080
235	333	1079
236	334	1078
237	336	1076
238	337	1074
239	339	1073
240	340	1071
241	341	1070
242	342	1068
243	344	1066
244	345	1065
245	347	1064
246	348	1062
247	350	1061
248	351	1059
249	352	1058
250	354	1057
251	356	1057
252	357	1055
253	358	1053
254	360	1052
255	361	1050
256	362	1048
257	364	1047
258	365	1045
259	366	1043
260	368	1042
261	369	1041
262	371	1039
263	372	1039
264	374	1037
265	375	1036
266	376	1034
267	378	1032
268	379	1031
269	380	1030
270	382	1028
271	383	1026
272	385	1025
273	386	1023
274	387	1021
275	388	1020
276	390	1018
277	391	1016
278	392	1014
279	394	1013
280	395	1012
281	397	1010
282	398	1009
283	399	1007
284	400	1005
285	402	1005
286	404	1003
287	405	1002
288	406	1000
289	408	998
290	409	997
291	410	995
292	412	994
293	413	992
294	414	991
295	416	989
296	417	987
297	418	985
298	419	984
299	421	982
300	422	980
301	423	979
302	425	978
303	426	976
304	427	975
305	429	973
306	430	972
307	431	970
308	433	968
309	434	967
310	435	965
311	437	964
312	438	963
313	440	961
314	441	960
315	442	958
316	444	956
317	445	955
318	446	954
319	448	952
320	449	951
321	451	950
322	452	948
323	453	947
324	455	945
325	456	944
326	457	942
327	459	940
328	460	939
329	461	937
330	463	936
331	464	934
332	465	933
333	467	931
334	468	929
335	470	928
336	471	927
337	472	926
338	474	924
339	475	922
340	476	921
341	478	919
342	479	919
343	481	918
344	483	917
345	484	915
346	485	913
347	486	912
348	488	910
349	489	908
350	490	907
351	492	905
352	493	904
353	494	902
354	495	900
355	497	899
356	498	898
357	499	896
358	501	895
359	502	893
360	504	892
361	505	891
362	507	889
363	508	888
364	509	886
365	511	885
366	512	884
367	513	882
368	515	881
369	516	879
370	517	878
371	519	876
372	520	874
373	521	873
374	523	872
375	524	870
376	526	869
377	528	869
378	529	867
379	530	866
380	532	864
381	533	863
382	534	861
383	536	860
384	537	858
385	539	857
386	540	856
387	541	854
388	543	853
389	544	851
390	546	850
391	547	848
392	548	847
393	550	846
394	551	844
395	552	842
396	553	841
397	555	839
398	556	838
399	558	837
400	559	835
401	560	834
402	562	833
403	564	832
404	565	830
405	566	829
406	568	827
407	569	826
408	570	824
409	572	823
410	573	821
411	574	820
412	576	819
413	577	817
414	578	815
415	580	814
416	581	812
417	582	811
418	584	810
419	585	808
420	586	807
421	588	805
422	589	804
423	591	803
424	592	801
425	593	800
426	595	798
427	596	797
428	597	795
429	599	794
430	600	792
431	601	791
432	603	790
433	604	788
434	606	787
435	607	785
436	608	784
437	610	782
438	611	781
439	612	779
440	614	778
441	615	777
442	616	775
443	618	774
444	619	773
445	621	771
446	622	770
447	624	769
448	625	767
449	627	766
450	628	765
451	629	763
452	631	762
453	632	761
454	634	759
455	635	758
456	637	757
457	638	755
458	640	754
459	641	753
460	643	752
461	644	750
462	645	749
463	647	747
464	648	746
465	649	744
466	651	743
467	652	741
468	653	740
469	655	739
470	656	737
471	658	736
472	659	735
473	661	733
474	662	732
475	663	730
476	665	729
477	666	727
478	667	726
479	669	724
480	671	724
481	672	722
482	674	721
483	675	720
484	676	718
485	678	717
486	679	715
487	680	714
488	682	712
489	683	711
490	685	710
491	686	708
492	687	707
493	689	705
494	690	704
495	691	702
496	693	701
497	694	700
498	696	698
499	697	697
500	698	695
501	700	694
502	701	693
503	703	692
504	704	690
505	705	689
506	707	687
507	708	686
508	710	685
509	711	683
510	713	682
511	714	680
512	715	679
513	717	677
514	718	676
515	719	674
516	720	673
517	722	672
518	723	670
519	724	669
520	726	667
521	727	666
522	728	664
523	730	663
524	731	661
525	733	660
526	734	659
527	735	657
528	737	656
529	738	654
530	739	653
531	741	651
532	742	650
533	743	649
534	745	647
535	746	646
536	748	645
537	749	643
538	750	642
539	752	640
540	753	639
541	755	638
542	756	636
543	758	635
544	759	633
545	760	632
546	762	631
547	763	629
548	765	628
549	766	627
550	767	625
551	769	624
552	770	622
553	771	621
554	773	619
555	774	618
556	775	617
557	777	615
558	778	614
559	780	612
560	781	611
561	783	610
562	784	608
563	785	607
564	787	605
565	788	604
566	789	603
567	791	601
568	792	600
569	794	599
570	795	597
571	796	596
572	797	594
573	799	593
574	800	591
575	801	590
576	803	588
577	804	587
578	805	585
579	807	584
580	808	583
581	810	581
582	811	580
583	812	578
584	814	577
585	815	576
586	816	574
587	817	573
588	819	571
589	820	570
590	821	568
591	823	567
592	825	566
593	826	564
594	827	563
595	829	562
596	830	560
597	831	559
598	833	557
599	834	556
600	835	554
601	837	553
602	838	551
603	839	550
604	841	549
605	842	547
606	843	546
607	845	544
608	846	543
609	848	542
610	849	540
611	850	539
612	852	538
613	853	536
614	854	535
615	856	533
616	857	532
617	859	531
618	860	529
619	861	528
620	863	526
621	865	525
622	866	524
623	868	523
624	869	521
625	870	520
626	872	518
627	873	517
628	875	516
629	876	514
630	878	513
